,no_of_adults,children,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,avg_price_per_room,booking_status,cx_rsvn_pcg,nights_ttl
0,2,0,Meal Plan 1,0,Room_Type 1,224,Offline,0,65.0,0,0.0,3
1,2,0,Not Selected,0,Room_Type 1,5,Online,0,106.68,0,0.0,5
2,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,60.0,1,0.0,3
3,2,0,Meal Plan 1,0,Room_Type 1,211,Online,0,100.0,1,0.0,2
4,2,0,Not Selected,0,Room_Type 1,48,Online,0,94.5,1,0.0,2
5,2,0,Meal Plan 2,0,Room_Type 1,346,Online,0,115.0,1,0.0,2
6,2,0,Meal Plan 1,0,Room_Type 1,34,Online,0,107.55,0,0.0,4
7,2,0,Meal Plan 1,0,Room_Type 4,83,Online,0,105.61,0,0.0,4
8,3,0,Meal Plan 1,0,Room_Type 1,121,Offline,0,96.9,0,0.0,4
9,2,0,Meal Plan 1,0,Room_Type 4,44,Online,0,133.44,0,0.0,5
10,1,0,Not Selected,0,Room_Type 1,0,Online,0,85.03,0,0.0,1
11,1,0,Meal Plan 1,0,Room_Type 4,35,Online,0,140.4,0,0.0,3
12,2,0,Not Selected,0,Room_Type 1,30,Online,0,88.0,1,0.0,3
13,1,0,Meal Plan 1,0,Room_Type 1,95,Online,0,90.0,1,0.0,2
14,2,0,Meal Plan 1,0,Room_Type 1,47,Online,0,94.5,0,0.0,2
15,2,0,Meal Plan 2,0,Room_Type 1,256,Online,0,115.0,1,0.0,2
16,1,0,Meal Plan 1,0,Room_Type 1,0,Offline,0,96.0,0,0.0,1
17,2,0,Not Selected,0,Room_Type 1,1,Online,0,96.0,0,0.0,4
18,2,0,Meal Plan 1,0,Room_Type 1,99,Online,0,65.0,1,0.0,4
19,2,0,Meal Plan 1,0,Room_Type 1,12,Offline,0,72.0,0,0.0,1
20,2,0,Meal Plan 1,0,Room_Type 1,99,Online,0,65.0,1,0.0,4
21,1,0,Meal Plan 1,0,Room_Type 1,122,Corporate,0,67.0,0,0.0,1
22,2,0,Meal Plan 1,0,Room_Type 1,2,Offline,0,85.0,0,0.0,6
23,2,0,Meal Plan 1,0,Room_Type 1,37,Offline,0,105.0,0,0.0,3
24,2,0,Not Selected,0,Room_Type 1,130,Online,0,94.5,0,0.0,3
25,2,0,Meal Plan 1,0,Room_Type 1,99,Online,0,114.3,0,0.0,2
26,2,0,Meal Plan 1,0,Room_Type 1,60,Offline,0,65.0,0,0.0,2
27,1,0,Meal Plan 1,0,Room_Type 4,2,Aviation,0,110.0,1,0.0,2
28,1,0,Meal Plan 1,0,Room_Type 1,37,Online,0,37.33,1,0.0,3
29,2,0,Meal Plan 2,0,Room_Type 1,56,Offline,0,82.0,0,0.0,2
30,2,0,Meal Plan 1,0,Room_Type 4,3,Online,0,177.5,0,0.0,2
31,2,0,Meal Plan 1,0,Room_Type 1,107,Online,0,87.5,0,0.0,4
32,0,1,Meal Plan 1,0,Room_Type 2,56,Online,0,82.44,0,0.0,3
33,2,0,Not Selected,0,Room_Type 1,2,Online,0,69.5,0,0.0,1
34,2,0,Meal Plan 1,0,Room_Type 1,72,Offline,0,85.5,0,0.0,2
35,2,0,Not Selected,1,Room_Type 1,23,Online,0,115.0,0,0.0,1
36,1,0,Meal Plan 1,0,Room_Type 1,34,Online,0,81.0,1,0.0,3
37,2,0,Meal Plan 1,0,Room_Type 1,289,Offline,0,67.0,0,0.0,1
38,2,0,Not Selected,0,Room_Type 1,247,Online,0,63.75,1,0.0,5
39,2,0,Meal Plan 1,0,Room_Type 4,186,Online,0,121.8,1,0.0,3
40,2,0,Meal Plan 1,0,Room_Type 1,64,Online,0,93.6,0,0.0,4
41,2,0,Meal Plan 1,0,Room_Type 1,35,Online,0,102.0,0,0.0,2
42,3,0,Meal Plan 1,0,Room_Type 1,96,Online,0,121.8,0,0.0,3
43,2,0,Not Selected,0,Room_Type 1,41,Online,0,98.1,1,0.0,2
44,2,0,Meal Plan 1,0,Room_Type 4,55,Offline,0,60.0,0,0.0,4
45,2,0,Meal Plan 1,0,Room_Type 1,146,Offline,0,75.0,0,0.0,3
46,1,0,Meal Plan 1,0,Room_Type 1,32,Offline,0,73.0,0,0.0,2
47,2,0,Meal Plan 2,0,Room_Type 1,55,Offline,0,104.0,0,0.0,1
48,2,0,Not Selected,0,Room_Type 1,57,Online,0,79.2,0,0.0,4
49,1,0,Meal Plan 1,0,Room_Type 4,7,Online,0,125.8,0,0.0,4
50,1,0,Not Selected,0,Room_Type 1,124,Online,0,87.95,0,0.0,7
51,2,0,Meal Plan 2,0,Room_Type 1,169,Online,0,106.0,1,0.0,4
52,1,0,Meal Plan 1,0,Room_Type 1,6,Online,0,136.67,0,0.0,3
53,2,0,Meal Plan 1,0,Room_Type 4,51,Offline,0,60.0,0,0.0,4
54,2,0,Not Selected,0,Room_Type 1,13,Online,0,89.0,0,0.0,1
55,2,0,Meal Plan 1,0,Room_Type 1,100,Online,0,136.0,0,0.0,4
56,2,0,Not Selected,0,Room_Type 1,139,Online,0,94.5,0,0.0,1
57,2,0,Meal Plan 1,0,Room_Type 1,117,Online,0,93.6,0,0.0,3
58,2,0,Meal Plan 1,0,Room_Type 4,39,Online,0,120.6,1,0.0,5
59,2,0,Meal Plan 1,0,Room_Type 4,86,Online,0,99.3,0,0.0,3
60,2,1,Meal Plan 1,1,Room_Type 6,2,Online,0,258.0,0,0.0,1
61,1,0,Meal Plan 1,0,Room_Type 4,19,Online,0,120.12,0,0.0,3
62,1,0,Meal Plan 1,0,Room_Type 1,192,Offline,0,95.0,0,0.0,2
63,1,0,Meal Plan 1,0,Room_Type 1,2,Complementary,0,0.0,0,0.0,1
64,2,0,Meal Plan 1,0,Room_Type 1,86,Offline,0,75.0,0,0.0,3
65,2,0,Meal Plan 1,0,Room_Type 4,30,Online,0,157.5,0,0.0,3
66,2,0,Meal Plan 1,0,Room_Type 4,179,Online,0,97.7,0,0.0,2
67,2,0,Meal Plan 1,0,Room_Type 4,26,Online,0,142.0,1,0.0,2
68,2,0,Meal Plan 1,0,Room_Type 1,55,Offline,0,80.0,0,0.0,1
69,2,0,Meal Plan 1,0,Room_Type 1,74,Online,0,85.5,0,0.0,3
70,2,0,Meal Plan 1,0,Room_Type 1,143,Offline,0,100.0,0,0.0,3
71,2,0,Not Selected,0,Room_Type 1,34,Online,0,88.0,0,0.0,1
72,2,0,Meal Plan 1,1,Room_Type 1,30,Online,0,122.85,0,0.0,2
73,2,0,Meal Plan 1,0,Room_Type 1,177,Online,0,100.0,1,0.0,2
74,2,0,Meal Plan 1,0,Room_Type 4,34,Offline,0,75.0,0,0.0,5
75,2,0,Meal Plan 1,0,Room_Type 4,18,Online,0,116.8,0,0.0,5
76,3,0,Meal Plan 1,0,Room_Type 4,267,Online,0,121.5,0,0.0,2
77,2,0,Meal Plan 1,0,Room_Type 1,64,Online,0,111.9,0,0.0,3
78,3,0,Meal Plan 1,0,Room_Type 4,155,Online,0,121.55,1,0.0,7
79,2,0,Meal Plan 1,0,Room_Type 1,46,Offline,0,75.0,0,0.0,5
80,2,1,Meal Plan 1,0,Room_Type 6,83,Online,0,159.3,1,0.0,2
81,2,0,Meal Plan 1,0,Room_Type 4,128,Online,0,132.3,1,0.0,5
82,2,0,Not Selected,0,Room_Type 1,20,Online,0,88.0,0,0.0,2
83,2,0,Meal Plan 1,0,Room_Type 4,40,Online,0,98.82,0,0.0,5
84,2,0,Meal Plan 1,1,Room_Type 4,46,Online,0,98.3,0,0.0,3
85,1,0,Meal Plan 1,0,Room_Type 1,1,Online,0,150.0,0,0.0,1
86,2,0,Not Selected,0,Room_Type 1,196,Online,0,96.05,0,0.0,5
87,1,0,Meal Plan 1,0,Room_Type 1,188,Online,0,130.0,1,0.0,2
88,2,0,Not Selected,0,Room_Type 1,17,Online,1,95.0,0,0.0,1
89,2,0,Meal Plan 1,0,Room_Type 5,146,Offline,0,113.56,0,0.0,3
90,2,0,Not Selected,0,Room_Type 1,110,Online,0,101.58,0,0.0,4
91,2,0,Meal Plan 1,1,Room_Type 1,68,Online,0,105.3,0,0.0,3
92,2,0,Meal Plan 1,0,Room_Type 4,73,Online,0,115.8,0,0.0,3
93,2,0,Meal Plan 1,0,Room_Type 4,92,Online,0,149.4,0,0.0,1
94,2,0,Meal Plan 1,0,Room_Type 1,171,Online,0,111.59,1,0.0,7
95,2,1,Meal Plan 1,1,Room_Type 1,134,Online,0,130.5,0,0.0,2
96,2,0,Meal Plan 2,0,Room_Type 1,320,Online,0,115.0,1,0.0,2
97,2,0,Meal Plan 1,0,Room_Type 1,118,Online,0,90.95,0,0.0,4
98,2,0,Meal Plan 1,0,Room_Type 1,30,Online,0,76.08,0,0.0,3
99,2,1,Meal Plan 1,0,Room_Type 6,30,Online,0,156.9,0,0.0,4
100,2,0,Not Selected,0,Room_Type 1,189,Online,0,85.5,0,0.0,1
101,3,0,Meal Plan 1,0,Room_Type 4,55,Online,0,159.3,0,0.0,3
102,1,0,Meal Plan 1,0,Room_Type 1,55,Online,0,74.8,0,0.0,4
103,2,0,Meal Plan 1,0,Room_Type 1,16,Online,0,95.0,0,0.0,1
104,2,0,Meal Plan 1,0,Room_Type 1,24,Online,0,107.0,0,0.0,3
105,2,0,Meal Plan 1,0,Room_Type 1,8,Offline,0,64.0,0,0.0,3
106,2,0,Meal Plan 1,1,Room_Type 1,10,Online,0,82.95,0,0.0,5
107,2,0,Meal Plan 1,0,Room_Type 4,0,Online,0,155.0,0,0.0,4
108,2,0,Not Selected,0,Room_Type 1,12,Online,0,101.68,0,0.0,1
109,2,0,Meal Plan 1,0,Room_Type 1,32,Online,0,94.5,0,0.0,3
110,2,0,Meal Plan 1,0,Room_Type 1,182,Online,0,117.9,1,0.0,2
111,2,0,Not Selected,0,Room_Type 1,1,Online,0,127.0,0,0.0,1
112,2,0,Not Selected,0,Room_Type 1,122,Online,0,116.1,0,0.0,3
113,2,0,Meal Plan 1,0,Room_Type 1,40,Online,0,117.9,0,0.0,5
114,2,1,Meal Plan 1,0,Room_Type 2,116,Online,0,184.24,1,0.0,4
115,3,0,Meal Plan 1,1,Room_Type 4,123,Online,0,155.7,0,0.0,4
116,3,0,Meal Plan 1,0,Room_Type 4,40,Online,0,135.76,1,0.0,7
117,2,1,Meal Plan 1,0,Room_Type 1,105,Online,0,102.83,0,0.0,7
118,2,0,Meal Plan 1,0,Room_Type 1,443,Online,0,65.0,1,0.0,1
119,2,0,Meal Plan 1,0,Room_Type 1,2,Online,0,103.0,0,0.0,5
120,2,0,Meal Plan 1,0,Room_Type 1,317,Online,0,106.2,1,0.0,3
121,2,0,Meal Plan 2,0,Room_Type 1,286,Offline,0,58.5,0,0.0,2
122,2,0,Meal Plan 1,0,Room_Type 1,68,Online,0,73.95,1,0.0,4
123,2,0,Meal Plan 1,0,Room_Type 1,148,Online,0,105.3,0,0.0,3
124,3,0,Meal Plan 1,0,Room_Type 4,68,Online,0,133.2,0,0.0,2
125,2,0,Meal Plan 1,0,Room_Type 1,30,Offline,0,85.5,0,0.0,2
126,1,0,Meal Plan 1,0,Room_Type 1,14,Online,0,112.0,1,0.0,1
127,2,1,Meal Plan 1,0,Room_Type 6,110,Online,0,190.8,1,0.0,2
128,1,0,Meal Plan 1,0,Room_Type 1,117,Offline,0,110.0,0,0.0,5
129,2,0,Meal Plan 1,0,Room_Type 4,85,Online,0,91.48,0,0.0,5
130,2,0,Not Selected,0,Room_Type 1,1,Online,0,135.0,0,0.0,2
131,1,0,Meal Plan 1,0,Room_Type 1,25,Online,0,129.0,0,0.0,3
132,2,0,Not Selected,0,Room_Type 1,289,Online,0,70.55,1,0.0,6
133,2,0,Meal Plan 1,0,Room_Type 4,28,Offline,0,75.0,0,0.0,5
134,1,0,Not Selected,0,Room_Type 1,80,Online,0,72.25,0,0.0,4
135,2,0,Meal Plan 1,0,Room_Type 4,11,Online,0,155.0,0,0.0,1
136,2,1,Meal Plan 1,0,Room_Type 1,162,Online,0,121.5,1,0.0,1
137,2,0,Meal Plan 1,0,Room_Type 1,155,Online,0,90.95,0,0.0,7
138,1,0,Meal Plan 1,0,Room_Type 1,82,Online,0,109.65,0,0.0,4
139,3,0,Meal Plan 1,0,Room_Type 4,27,Online,0,142.72,1,0.0,6
140,1,0,Meal Plan 1,0,Room_Type 1,13,Offline,0,90.0,0,0.0,3
141,2,0,Meal Plan 1,0,Room_Type 1,245,Online,0,75.0,1,0.0,2
142,2,0,Meal Plan 1,0,Room_Type 1,11,Online,0,111.0,1,0.0,2
143,2,0,Meal Plan 1,0,Room_Type 1,266,Online,0,86.7,0,0.0,4
144,2,0,Meal Plan 1,0,Room_Type 1,39,Online,0,117.9,0,0.0,1
145,1,0,Meal Plan 1,0,Room_Type 1,13,Complementary,1,0.0,0,0.375,2
146,2,0,Not Selected,0,Room_Type 1,112,Online,0,101.58,0,0.0,4
147,2,0,Not Selected,0,Room_Type 1,88,Online,0,58.9,0,0.0,3
148,2,0,Meal Plan 1,0,Room_Type 1,56,Offline,0,120.0,0,0.0,1
149,2,0,Meal Plan 1,0,Room_Type 4,73,Online,0,107.1,1,0.0,5
150,2,0,Meal Plan 1,0,Room_Type 1,80,Online,0,126.9,0,0.0,2
151,2,0,Meal Plan 1,0,Room_Type 4,130,Online,0,139.5,1,0.0,3
152,2,0,Not Selected,0,Room_Type 1,69,Online,0,80.75,0,0.0,4
153,2,0,Meal Plan 2,0,Room_Type 1,273,Online,0,109.0,1,0.0,2
154,2,0,Meal Plan 2,0,Room_Type 1,55,Offline,0,104.0,0,0.0,1
155,1,0,Meal Plan 1,0,Room_Type 1,4,Corporate,1,65.0,0,0.16666666666666666,3
156,2,0,Meal Plan 1,0,Room_Type 4,97,Online,0,140.4,0,0.0,3
157,2,0,Meal Plan 1,0,Room_Type 1,44,Offline,0,75.0,0,0.0,3
158,2,0,Not Selected,0,Room_Type 1,31,Online,0,94.5,1,0.0,1
159,2,0,Not Selected,0,Room_Type 1,0,Online,0,109.0,0,0.0,1
160,2,0,Meal Plan 1,0,Room_Type 1,62,Online,0,105.0,0,0.0,4
161,2,0,Meal Plan 1,0,Room_Type 4,86,Online,0,107.95,0,0.0,4
162,3,0,Meal Plan 1,0,Room_Type 7,3,Online,0,215.6,0,0.0,4
163,2,0,Not Selected,0,Room_Type 1,197,Online,0,85.5,0,0.0,2
164,2,0,Meal Plan 1,0,Room_Type 1,143,Online,0,105.3,0,0.0,2
165,1,0,Meal Plan 2,0,Room_Type 1,23,Online,0,1.0,0,0.0,3
166,2,0,Meal Plan 1,0,Room_Type 4,8,Online,0,156.0,1,0.0,2
167,1,0,Meal Plan 1,0,Room_Type 1,13,Online,0,73.15,0,0.0,2
168,2,0,Meal Plan 1,0,Room_Type 1,280,Online,0,110.0,1,0.0,3
169,2,1,Not Selected,0,Room_Type 1,11,Online,0,87.4,0,0.0,1
170,2,0,Meal Plan 1,0,Room_Type 1,317,Online,0,120.0,1,0.0,2
171,2,0,Not Selected,0,Room_Type 1,185,Online,0,79.2,1,0.0,3
172,2,0,Meal Plan 1,0,Room_Type 1,160,Online,0,90.95,0,0.0,4
173,2,0,Meal Plan 1,0,Room_Type 1,104,Online,0,91.48,0,0.0,4
174,2,1,Meal Plan 1,0,Room_Type 1,11,Online,0,150.0,1,0.0,1
175,2,0,Not Selected,0,Room_Type 1,2,Online,0,89.0,0,0.0,1
176,2,0,Not Selected,0,Room_Type 1,14,Online,0,91.43,0,0.0,5
177,2,0,Meal Plan 1,0,Room_Type 1,22,Offline,0,140.0,0,0.0,2
178,1,1,Not Selected,0,Room_Type 1,37,Online,0,87.78,0,0.0,7
179,2,0,Meal Plan 2,0,Room_Type 1,292,Online,0,115.0,1,0.0,2
180,2,0,Meal Plan 1,0,Room_Type 1,11,Online,0,80.85,0,0.0,3
181,2,0,Meal Plan 1,0,Room_Type 1,86,Online,0,82.45,0,0.0,4
182,2,0,Not Selected,0,Room_Type 1,109,Online,0,108.0,1,0.0,1
183,2,0,Meal Plan 1,0,Room_Type 4,72,Online,0,96.3,0,0.0,2
184,2,0,Meal Plan 1,0,Room_Type 1,196,Online,0,99.45,1,0.0,6
185,2,0,Meal Plan 1,0,Room_Type 4,56,Online,0,140.4,0,0.0,2
186,2,0,Meal Plan 1,0,Room_Type 1,189,Offline,0,72.25,0,0.0,4
187,2,0,Meal Plan 1,0,Room_Type 4,126,Online,0,126.0,0,0.0,5
188,2,0,Meal Plan 1,0,Room_Type 1,303,Online,0,78.0,1,0.0,5
189,1,0,Meal Plan 1,0,Room_Type 4,81,Online,0,146.6,0,0.0,4
190,2,0,Meal Plan 1,0,Room_Type 1,54,Online,0,118.8,1,0.0,3
191,1,0,Meal Plan 1,0,Room_Type 1,15,Online,0,145.0,1,0.0,1
192,2,0,Meal Plan 1,0,Room_Type 1,86,Online,0,84.58,1,0.0,4
193,2,0,Meal Plan 2,0,Room_Type 1,161,Online,0,130.0,1,0.0,3
194,2,0,Meal Plan 1,0,Room_Type 4,147,Online,0,118.88,1,0.0,14
195,2,0,Meal Plan 1,0,Room_Type 1,92,Offline,0,101.52,0,0.0,3
196,2,0,Meal Plan 1,0,Room_Type 1,87,Corporate,0,100.0,1,0.0,1
197,2,0,Meal Plan 1,0,Room_Type 1,109,Offline,0,58.0,0,0.0,3
